%Szakasz_index	x_coord	mesh_density
554	-0.14199058092350508	106458.62278877388
555	-0.14198119109974464	106537.94971711132
556	-0.14197180826118783	106617.19137355908
557	-0.14196243238996314	106696.34797383705
558	-0.14195306346827447	106775.41973435452
559	-0.14194370147840063	106854.40686933672
560	-0.1419343464026951	106933.30959332133
561	-0.14192499822358534	107012.12811859218
562	-0.14191565692357258	107090.86265768317
563	-0.14190632248523127	107169.51342144191
564	-0.14189699489120866	107248.08062058812
565	-0.14188767412422437	107326.56446408892
566	-0.14187836016707006	107404.96516104206
567	-0.14186905300260888	107483.28291904875
568	-0.1418597526137751	107561.51794449937
569	-0.14185045898357374	107639.67044382636
570	-0.14184117209508018	107717.74062187015
571	-0.14183189193143958	107795.7286831336
572	-0.14182261847586672	107873.63483078664
573	-0.1418133517116454	107951.45926760335
574	-0.1418040916221282	108029.20219561168
575	-0.141794838190736	108106.8638154159
576	-0.1417855914009575	108184.44432746264
577	-0.14177635123634907	108261.94393071554
578	-0.14176711768053413	108339.36282359909
579	-0.14175789071720288	108416.70120429841
580	-0.1417486703301119	108493.95926910157
581	-0.14173945650308384	108571.13721465395
582	-0.14173024922000688	108648.23523564514
583	-0.14172104846483446	108725.25352706992
584	-0.14171185422158503	108802.19228256571
585	-0.14170266647434143	108879.05169471038
586	-0.14169348520725072	108955.8319563113
587	-0.14168431040452378	109032.53325807594
588	-0.14167514205043488	109109.15579088884
589	-0.14166598012932136	109185.69974446838
590	-0.14165682462558332	109262.16530800046
591	-0.14164767552368324	109338.55267011408
592	-0.1416385328081456	109414.86201786007
593	-0.14162939646355663	109491.09353834348
594	-0.14162026647456383	109567.24741770403
595	-0.14161114282587572	109643.32384108938
596	-0.14160202550226153	109719.32299363073
597	-0.14159291448855071	109795.24505841531
598	-0.1415838097696328	109871.09021913311
599	-0.14157471133045696	109946.85865804841
600	-0.14156561915603166	110022.5505569786
601	-0.14155653323142442	110098.16609693541
602	-0.1415474535417614	110173.70545810033
603	-0.14153838007222713	110249.16882013738
604	-0.14152931280806424	110324.55636217073
605	-0.14152025173457294	110399.86826174759
606	-0.14151119683711097	110475.10469684134
607	-0.1415021481010931	110550.26584414007
608	-0.1414931055119909	110625.35188003862
609	-0.14148406905533245	110700.36297925786
610	-0.14147503871670192	110775.29931719962
611	-0.14146601448173934	110850.16106754603
612	-0.1414569963361404	110924.94840393774
613	-0.14144798426565594	110999.66149893017
614	-0.1414389782560918	111074.30052465355
615	-0.14142997829330856	111148.86565279278
